File	F3-4.dat

t(sec)	z(m)
309	2.818246687
309.25	2.906116208
309.5	2.949235474
309.75	2.970438328
310	2.943017329
310.25	2.90764526
310.5	2.847298675
310.75	2.766462793
311	2.69969419
311.25	2.649439348
311.5	2.620489297
311.75	2.603975535
312	2.623547401
312.25	2.643221203
312.5	2.681651376
312.75	2.734250765
313	2.795412844
313.25	2.862181448
313.5	2.920285423
313.75	2.983792049
314	3.012844037
314.25	3.027013252
314.5	3.001121305
314.75	2.952395515
315	2.881039755
315.25	2.790723751
315.5	2.688685015
315.75	2.591437309
316	2.495616718
316.25	2.421100917
316.5	2.378695209
316.75	2.343425076
317	2.336391437
317.25	2.35127421
317.5	2.39520897
317.75	2.46116208
318	2.51529052
318.25	2.567074414
318.5	2.603975535
318.75	2.596126402
319	2.591437309
319.25	2.568603466
319.5	2.54587156
319.75	2.523139653
320	2.542711519
320.25	2.599286442
320.5	2.71304791
320.75	2.830784913
321	2.944546381
321.25	3.034046891
321.5	3.114882773
321.75	3.147094801
322	3.148623853
322.25	3.10540265
322.5	3.038735984
322.75	2.939857288
323	2.816615698
323.25	2.71304791
323.5	2.618858308
323.75	2.5490316
324	2.492558614
324.25	2.442303772
324.5	2.385015291
324.75	2.299490316
325	2.206829766
325.25	2.13853211
325.5	2.068705403
325.75	2.025586137
326	2.023955148
326.25	2.059327217
326.5	2.130682977
326.75	2.247706422
327	2.386544343
327.25	2.534148828
327.5	2.675433231
327.75	2.816615698
328	2.923343527
328.25	3.004994903
328.5	3.038735984
328.75	3.055249745
329	3.025382263
329.25	2.994801223
329.5	2.94138634
329.75	2.876248726
330	2.816615698
330.25	2.780530071
330.5	2.759327217
330.75	2.763302752
331	2.779001019
331.25	2.795412844
331.5	2.818246687
331.75	2.813557594
332	2.793883792
332.25	2.783690112
332.5	2.74841998
332.75	2.691845056
333	2.631396534
333.25	2.576452599
333.5	2.53567788
333.75	2.494087666
334	2.479204893
334.25	2.46116208
334.5	2.442303772
334.75	2.407747197
335	2.363812436
335.25	2.323751274
335.5	2.289296636
335.75	2.273598369
336	2.268093782
336.25	2.293170234
336.5	2.346585117
336.75	2.435270133
337	2.550560652
337.25	2.704383282
337.5	2.847298675
